GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
popchg4201072018,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Total Population Change [1]"
natinc4201072018,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Natural Increase"
births4201072018,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Vital Events - Births"
deaths4201072018,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Vital Events - Deaths"
netmig4201072018,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - Total"
intlmig4201072018,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - International [2]"
dommig4201072018,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - Domestic"
popchg20172018,"Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Total Population Change [1]"
natinc20172018,"Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Natural Increase"
births20172018,"Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Vital Events - Births"
deaths20172018,"Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Vital Events - Deaths"
netmig20172018,"Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - Total"
intlmig20172018,"Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - International [2]"
dommig20172018,"Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - Domestic"
